Date,About,Period,Player Load Per Minute,IMA Accel Low,IMA Accel High,IMA Accel Total,IMA Jump Count Low Band,IMA Jump Count Med Band,IMA Jump Count High Band,Season,Prop_Accel_High,Prop_Jump_High
2022-11-29,Ben Vander Plas,Game,10.35,59,20,104,21,17,9,1,0.19230769230769232,0.19148936170212766
2022-12-03,Athlete C,Game,13.65,44,11,64,9,7,10,1,0.171875,0.38461538461538464
2022-12-03,Athlete D,Game,12.05,43,22,79,21,11,17,1,0.27848101265822783,0.3469387755102041
2022-12-03,Athlete E,Game,14.649999999999999,48,24,89,23,11,12,1,0.2696629213483146,0.2608695652173913
2022-12-03,Athlete F,Game,11.0,59,22,103,32,19,16,1,0.21359223300970873,0.23880597014925373
2022-12-03,Athlete G,Game,13.3,84,32,145,32,24,15,1,0.2206896551724138,0.2112676056338028
2022-12-03,Athlete H,Game,11.2,69,30,135,25,16,10,1,0.2222222222222222,0.19607843137254902
2022-12-03,Athlete J,Game,12.399999999999999,95,33,160,30,24,21,1,0.20625,0.28
2022-12-03,Ben Vander Plas,Game,11.149999999999999,94,28,151,23,29,20,1,0.18543046357615894,0.2777777777777778
2022-12-06,Athlete C,Game,12.05,49,14,76,25,9,11,1,0.18421052631578946,0.24444444444444444
2022-12-06,Athlete D,Game,13.3,54,23,92,27,23,14,1,0.25,0.21875
2022-12-06,Athlete E,Game,16.1,70,31,139,39,16,15,1,0.22302158273381295,0.21428571428571427
2022-12-06,Athlete G,Game,13.5,68,18,112,55,24,14,1,0.16071428571428573,0.15053763440860216
2022-12-06,Athlete H,Game,11.75,83,45,153,33,15,15,1,0.29411764705882354,0.23809523809523808
2022-12-06,Athlete J,Game,13.899999999999999,98,41,164,29,31,16,1,0.25,0.21052631578947367
2022-12-06,Ben Vander Plas,Game,11.45,81,23,141,14,27,10,1,0.16312056737588654,0.19607843137254902
2022-12-17,Athlete C,Game,12.25,34,8,65,16,13,9,1,0.12307692307692308,0.23684210526315788
2022-12-17,Athlete D,Game,11.3,50,16,85,10,17,17,1,0.18823529411764706,0.38636363636363635
2022-12-17,Athlete E,Game,10.350000000000001,16,5,29,4,1,4,1,0.1724137931034483,0.4444444444444444
2022-12-17,Athlete F,Game,12.55,66,33,131,32,22,9,1,0.25190839694656486,0.14285714285714285
2022-12-17,Athlete G,Game,12.2,70,35,149,51,25,14,1,0.2348993288590604,0.15555555555555556
2022-12-17,Athlete H,Game,11.15,82,33,151,25,15,9,1,0.2185430463576159,0.1836734693877551
2022-12-17,Athlete J,Game,13.45,76,25,142,44,36,9,1,0.176056338028169,0.10112359550561797
2022-12-17,Ben Vander Plas,Game,12.75,55,21,100,17,21,12,1,0.21,0.24
2022-12-20,Athlete A,Game,12.649999999999999,13,13,38,11,9,5,1,0.34210526315789475,0.2
2022-12-20,Athlete B,Game,10.6,22,6,30,16,8,4,1,0.2,0.14285714285714285
2022-12-20,Athlete C,Game,10.85,56,17,96,20,13,19,1,0.17708333333333334,0.36538461538461536
